page,title,content
1,Executive Summary,"Tesla's mission is to accelerate the world's transition to sustainable energy by bringing compelling mass market electric cars to market. Tesla is taking a fundamentally different approach to its business model: products are a 'computer on wheels' with over-the-air updates, simplified SKUs, vertically integrated supply chain, highly automated manufacturing, charging network and best-in-class battery technology. Tesla has reinvented customer experience: showrooms in high-traffic areas, rejected dealership model for direct-to-consumer sales, multiple delivery options including contactless. Challenges include: limited financing options via four major banks, service capacity issues with mobile service and service centers."
2,Master Plan Timeline,"Tesla founded in 2003. In 2006, Elon Musk shared 'master plan': build all-electric sports car, translate to lower-cost mass market car, develop zero-emission power generation. In 2016, 'master plan part 2': create solar roofs with integrated battery storage, expand EV product line to all major segments, develop self-driving capability 10X safer via fleet learning, enable car to make money when not in use. Today entering second phase with Model 3, Model Y, Roadster, Cybertruck, and Semi truck expected in all major segments by 2022. All new vehicles built with hardware for fully autonomous self-driving."
3,Organizational Structure,"Tesla's organization resembles a tech player not traditional auto OEM. Highly technology driven with high CEO attention on software. Lean and agile organization (software change requests done in a day). Best breed teams across line organization with continuous performance management. Dedicated resources for E/E software topics including: Powertrain & Energy engineering, SW engineering, AI, Autopilot SW engineering. Key departments: VP Total Vehicle Engineering, SVP Powertrain & Energy, VP Software Engineering, Senior Director AI, Director Autopilot Software, VP Low Voltage & Silicon Engineering, VP Materials Engineering."
4,Key Numbers and Market Position,"Founded 2003 in Palo Alto CA. ~150 US showrooms. ~400 service centers + ~700 mobile service units worldwide. 48,000 FTE employees. 2019 Automotive Revenue: $20.8B. 2019 Gross Profit: $4.4B. 2019 Units Sold: 367,000 worldwide, 192,250 US. ~7% vehicles leased (Q1 2020). Model 3 leads sales in small/midsize luxury market. Gross profit projections: $15,230 by 2025E with 20% gross margin. SG&A expected to drop to 5% of sales, R&D to 5%."
5,Battery Technology Improvements,"Tesla announced new battery technology improvements at Battery Day to reduce pack costs by 56% to ~$55/kWh by 2025. Benefits of vertical integration: Larger cell design decreases costs while improving range (14% reduction). Dry electrode production process reduces footprint and energy consumption 10x (18% reduction). Switch to less expensive silicon from graphite (5% reduction). Diversified cathodes and process innovation reduces investment and costs by >2/3 (12% reduction). Giga casting and structural batteries reduce mass by 10% and improve range (7% reduction)."
6,Vehicle Cost Optimization,"Tesla material cost on-par with Premium ICE despite powertrain disadvantage. Cost approximately $21K per vehicle. Tesla advantages: Electronics - simplified EE-architecture (centralization of control units), reduction of wiring, reduced control & display concept with only 1 central display, use of non-automotive electronic parts. Body - reduced crash requirements, reduced longevity/durability of materials, reduced acoustic measures, reduced number of parts. Chassis - use of standard products from suppliers, reduced corrosion requirement."
7,Vehicle Models and Demographics,"Model S: $79,000 base MSRP, 2019 sales 15.6K, avg household income $153,000, median age 54, 23% female/77% male. Model X: $84,000 base MSRP, 2019 sales 13.2K, avg household income $143,000, median age 52, 29% female/71% male. Model 3: $39,000 base MSRP, 2019 sales 150.1K, avg household income $128,000, median age 46, 16% female/84% male, 88% home ownership, 55% live in wealthiest 10% of ZIP codes. Model Y launched 2020 at $52,990. Cybertruck expected 2021 at $40,000-$70,000. Plans for $25K electric car within 3 years."
8,Customer Journey Overview,"Tesla strategically challenging OEM norms at select points: Awareness (explore models at showrooms), Consideration (define shortlist, test drive, configure options), Purchase & Finance (purchase vehicle online, attain financing, receive vehicle), Ownership (add features via OTA, charge vehicle, use owners account), Service & Repair (receive mobile/remote/in-store service, fix issues with software patches). Critical enablers: simplified product SKUs, manufacturing process at Fremont factory, charger network & battery investments with Supercharger stations."
9,Showroom Strategy,"~150 US retail locations in 30 states. Located in high-traffic retail areas, low foot traffic locations closed. With almost no traditional advertising, stores serve marketing function. 72% of Model 3 owners visited showroom prior to purchase. Designed to encourage product exploration - customers explore, compare, schedule test drives, learn to purchase. Not designed for purchasing, servicing, or financing. Staffed with specialists focused on product understanding not sales - no commission, all sales online. Typically 2-3 models showcased with design studio. Challenges: costly high-rent locations, legal restrictions in some states."
10,Direct-to-Consumer Sales Overview,"Tesla sells directly to consumers enabling end-to-end consistent customer experience. 74.8% of Model 3 customers 'very satisfied' with sales process. Estimated ~3.5% increase in gross margin by selling directly. Exclusively online ordering with as few as 5 clicks and $100 non-refundable order fee. Single-price sales with no incentives or negotiations - study shows negotiation is greatest frustration among car buyers. Ford following Tesla's lead with single-MSRP Mustang Mach-E. Legal restrictions: 10 states have outright ban on sales, Tesla fighting state-by-state."
