control_id,control_name,tier_1,tier_2,tier_3,tier_4,description
CTL-001,Real-time drift monitoring,mandatory,recommended,optional,optional,Continuous monitoring for model drift
CTL-002,Monthly drift review,mandatory,mandatory,recommended,optional,Monthly analysis of model performance
CTL-003,Explainability documentation,mandatory,mandatory,recommended,optional,Full SHAP/LIME explainability
CTL-004,Bias testing,mandatory,mandatory,conditional,optional,Demographic parity and equalized odds tests
CTL-005,Human-in-the-loop,mandatory,mandatory,optional,optional,Human override with defined SLA
CTL-006,Data lineage documentation,mandatory,mandatory,mandatory,recommended,Complete data provenance tracking
CTL-007,Model risk committee approval,mandatory,recommended,optional,optional,Senior governance approval
CTL-008,Quarterly validation,mandatory,optional,optional,optional,Full model revalidation quarterly
CTL-009,Semi-annual validation,optional,mandatory,optional,optional,Full model revalidation bi-annually
CTL-010,Annual validation,optional,optional,mandatory,mandatory,Full model revalidation annually
