limit_type,condition,start_time_window,segments,max_hours,company_buffer,augmented_extension
fdp,base,morning,1-2,13.0,0.5,4.0
fdp,base,morning,3,12.0,0.5,4.0
fdp,base,morning,4,11.5,0.5,3.5
fdp,base,morning,5+,11.0,0.5,3.0
fdp,base,afternoon,1-2,12.5,0.5,4.0
fdp,base,afternoon,3,11.5,0.5,4.0
fdp,base,afternoon,4,11.0,0.5,3.5
fdp,base,afternoon,5+,10.5,0.5,3.0
fdp,base,evening,1-2,12.0,0.5,3.5
fdp,base,evening,3,11.0,0.5,3.5
fdp,base,evening,4,10.5,0.5,3.0
fdp,base,evening,5+,10.0,0.5,2.5
fdp,base,night,1-2,11.0,0.5,3.0
fdp,base,night,3,10.0,0.5,3.0
fdp,base,night,4,9.5,0.5,2.5
fdp,base,night,5+,9.0,0.5,2.0
rest,home_base,,,10.0,9.0,
rest,outstation,,,10.0,8.0,
rest,reduced_rest,,,8.0,8.0,
cumulative,7_day,,,60.0,55.0,
cumulative,28_day,,,190.0,175.0,
cumulative,365_day,,,1000.0,950.0,
