exchange_type,resource,required,description
patient_access,Patient,true,Patient demographic information
patient_access,AllergyIntolerance,true,Allergy and intolerance records
patient_access,CarePlan,true,Care and treatment plans
patient_access,CareTeam,true,Care team composition
patient_access,Condition,true,Diagnoses and problems
patient_access,Device,true,Implanted devices
patient_access,DiagnosticReport,true,Diagnostic test results
patient_access,DocumentReference,true,Clinical documents
patient_access,Encounter,true,Clinical encounters
patient_access,Goal,true,Patient care goals
patient_access,Immunization,true,Immunization records
patient_access,Location,true,Facility information
patient_access,Medication,true,Medication information
patient_access,MedicationRequest,true,Medication orders
patient_access,Observation,true,Clinical observations
patient_access,Organization,true,Healthcare organizations
patient_access,Practitioner,true,Healthcare providers
patient_access,Procedure,true,Clinical procedures
patient_access,Provenance,true,Data provenance
provider_to_provider,Patient,true,Patient demographics
provider_to_provider,Condition,true,Diagnoses
provider_to_provider,Observation,true,Clinical observations
provider_to_provider,MedicationRequest,true,Medications
provider_to_provider,DiagnosticReport,true,Test results
provider_to_provider,Procedure,true,Procedures
provider_to_provider,CarePlan,true,Care plans
provider_to_provider,Encounter,true,Encounters
payer_to_payer,Patient,true,Member information
payer_to_payer,Coverage,true,Insurance coverage
payer_to_payer,ExplanationOfBenefit,true,Claims data
payer_to_payer,Claim,true,Claim submissions
payer_to_payer,ClaimResponse,true,Claim adjudications
bulk_export,Patient,true,Patient roster
bulk_export,Group,true,Patient groups
bulk_export,Observation,true,Clinical data
bulk_export,Condition,true,Conditions
bulk_export,MedicationRequest,true,Medications
