reservoir_type,completion_type,decline_type,initial_decline_rate,b_factor,terminal_decline,typical_eur_factor
conventional,conventional,exponential,0.015,0.0,0.005,0.35
conventional,hydraulic_fracture,hyperbolic,0.025,0.3,0.006,0.40
tight,conventional,exponential,0.020,0.0,0.006,0.25
tight,hydraulic_fracture,hyperbolic,0.045,0.5,0.008,0.30
shale,hydraulic_fracture,hyperbolic,0.070,0.8,0.010,0.15
shale,horizontal,hyperbolic,0.080,0.9,0.010,0.12
coalbed,conventional,harmonic,0.010,1.0,0.004,0.50
carbonate,conventional,exponential,0.012,0.0,0.004,0.40
carbonate,hydraulic_fracture,hyperbolic,0.030,0.4,0.006,0.35
sandstone,conventional,exponential,0.018,0.0,0.005,0.38
sandstone,hydraulic_fracture,hyperbolic,0.040,0.5,0.007,0.32
