regulation,requirement_id,description,applies_to,severity
SR 11-7,SR11-7-01,Model documentation and validation,banking_regulated,critical
SR 11-7,SR11-7-02,Independent model validation,banking_regulated,high
SR 11-7,SR11-7-03,Ongoing monitoring and outcomes analysis,banking_regulated,high
EU AI Act,EUAI-01,Risk classification and conformity assessment,high_risk_ai,critical
EU AI Act,EUAI-02,Transparency and explainability requirements,high_risk_ai,high
EU AI Act,EUAI-03,Human oversight mechanisms,high_risk_ai,high
EU AI Act,EUAI-04,Post-market monitoring,high_risk_ai,medium
NIST AI RMF,NIST-01,MAP - Context and risk framing,all_ai_systems,medium
NIST AI RMF,NIST-02,MEASURE - Risk assessment and analysis,all_ai_systems,medium
NIST AI RMF,NIST-03,MANAGE - Risk treatment and response,all_ai_systems,medium
NIST AI RMF,NIST-04,GOVERN - Organizational governance,all_ai_systems,medium
FTC Section 5,FTC-01,Algorithmic fairness in consumer decisions,customer_facing,high
FTC Section 5,FTC-02,Transparency in automated decision-making,customer_facing,medium
