data_class,required,fhir_resources,description
Patient Demographics,true,"Patient","Name, DOB, address, contact, language, race, ethnicity"
Allergies and Intolerances,true,"AllergyIntolerance","Allergy and adverse reaction information"
Assessment and Plan of Treatment,true,"CarePlan","Treatment plans and assessments"
Care Team Members,true,"CareTeam,Practitioner","Healthcare providers involved in care"
Clinical Notes,true,"DocumentReference,DiagnosticReport","Progress notes, discharge summaries, etc."
Goals,true,"Goal","Patient health goals"
Health Concerns,true,"Condition","Health concerns and conditions"
Immunizations,true,"Immunization","Vaccination records"
Lab Results,true,"Observation,DiagnosticReport","Laboratory test results"
Medications,true,"MedicationRequest,Medication","Current and historical medications"
Problems,true,"Condition","Problem list entries"
Procedures,true,"Procedure","Clinical procedures performed"
Provenance,true,"Provenance","Data origin and authorship"
Smoking Status,true,"Observation","Tobacco use status"
Vital Signs,true,"Observation","BP, HR, temp, height, weight, BMI, etc."
Unique Device Identifiers,false,"Device","Implanted device information"
Health Insurance Information,false,"Coverage","Insurance coverage details"
Encounter Information,false,"Encounter","Clinical encounter records"
Clinical Tests,false,"DiagnosticReport,Observation","Non-lab clinical tests"
Diagnostic Imaging,false,"ImagingStudy,DiagnosticReport","Radiology reports and images"
